Date,Headliner,Genre_Headliner,Opener,Venue,"City, State",Who,Reference,,,City,State,,_Full Date,Month,Day,Year,Day of Week,,Opener_,Opener_1,Opener_2,Opener_3,Opener_4,Opener_5,Opener_6,Opener_7,Opener_8,Opener_9,Opener_10,Opener_11,Opener_12,Opener_13,Opener_14,Opener_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/1984,Adam Ant,New Wave,,Irvine Meadows,"Irvine, California",Mike,https://www.concertarchives.org/concerts/adam-ant-4b4a77b7-b951-4fe6-99ad-d2017d67b5b4,,,Irvine, California,,April 27 1984,April,27,1984,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/1984,Thompson Twins,New Wave,The Reflex,Irvine Meadows,"Irvine, California",Mike,,,,Irvine, California,,May 12 1984,May,12,1984,Saturday,,The Reflex,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,,Animotion,,,,Chaka Kahn,,,OMD,,,,,Beastie Boys,,Hoodoo Gurus,The Nylons,Thomas Dolby,,,,,,Midge Ure,,,,,,EMF,Andrew Tosh,,Johnny Gill,Aswad,Squeeze,,Ian McCulloch,,,,,,John Doe,,,,,,Billy Joel,Richard Cheese & Lounge Against the Machine,,The English Beat,,Marc Almond,,,Raveonettes,Dirty Vegas,,Bow Wow Wow,,,,Hot Rod Lincoln,The Psychedelic Furs,,,,,,Fishbone,Hatcham Social,,Rise Against,Bowling for Soup,The Dollyrots,The English Beat,Sleigh Bells,Against Me!,,,Lindi Ortega,Solemn Sun,Against Me!,,Transplants,,,,,,Pennywise,Dan Potthast,Phox,Mahones,Mini Mansions,,Buddy Guy,Nikki Lane,Torres,RDGLDGRN,,AWOLNATION,,,Living Colour,,,,,,Garbage,,The Messthetics,The Struts,,,,The Alarm,,,The Paladins,Me Not You,Bad Religion,,Bear Hands,Masked Intruder,,,,,,,,The English Beat,cleopatrick,,Garbage,,,,The Blasters,Berlin,El Ten Eleven,EarthGang,,Pet Shop Boys,Boy Harsher,Inner Wave,Chris Shiflett,,Kelly Lee Owens,,Liam Finn
9/8/1984,Echo and the Bunnymen,New Wave,,Irvine Meadows,"Irvine, California",Mike,https://www.concertarchives.org/concerts/echo-the-bunnymen-81f113b0-3f36-4787-afa9-5b9cbd675bc8,,,Irvine, California,,September 8 1984,September,8,1984,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Book of Love,,,, Katrina And the Waves,,,,,,,,,,Bangles,,Wire,,,,,,,,,,,,,Carlene Davis,,Keith Sweat,Eek a Mouse,,,School of Fish,,,,,,Jane Weidlin,,,,,,,,,,,Berlin,,,,,,Flock of Seagulls,,,,,,,,,,,,Kelley Stoltz,,,,,,,,,,,Barroom Heroes,The Bronx,,Crown of Thornz,,,,,,Vandals,Chris Murray,,Blood or Whiskey,,,Gary Clark Jr.,Drag The River,,,,,,,Public Enemy,,,,,,,,Danger Painters,,,,,Dramarama,,,,,The Offspring,,Kiev,Rat Boy,,,,,,,,,,,,,,,Los Lobos,,,,,Paul Oakenfold,,,,,,,
3/31/1985,Depeche Mode,New Wave,"Animotion,Book of Love",Irvine Meadows,"Irvine, California",Mike,http://archives.depechemode.com/past_tours/somegreatrewardtour/dates.html,,,Irvine, California,,March 31 1985,March,31,1985,Sunday,,Animotion,Book of Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Squeeze,,OMD,,,,,,,,,,,,,Dennis Brown,,,,,,The Smithereens,,,,,,,,,,,,,,,,,Bow Wow Wow,,,,,,When In Rome,,,,,,,,,,,,,,,,,,,,,,,,Polar Bear Club,,,,,,,,Bad Religion,,,Bryan Mcpherson,,,Heart,,,,,,,,,,,,,,,,Kid Congo Powers,,,,,The Motels,,,,,Pennywise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/1985,Stryper,Heavy Metal,,Knots Berry Farm,"Buena Park, California",Dori,,,,Buena Park, California,,May 17 1985,May,17,1985,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Isaak,,,,,,,,,,,,,,,Little Lenny,,,,,,The Wonderstuff,,,,,,,,,,,,,,,,,Dashboard Confessional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joan Jett & The Blackhearts,,,,,,,,,,,,,,,,,,,,,Naked Eyes,,,,,Suicidal Tendencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/1985,Howard Jones,New Wave,,Irvine Meadows,"Irvine, California",Mike,https://www.setlist.fm/setlist/howard-jones/1985/irvine-meadows-amphitheatre-irvine-ca-5bdc63c4.html,,,Irvine, California,,June 4 1985,June,4,1985,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Fixx,,,,,,,,,,,,,,,Shinehead,,,,,,,,,,,,,,,,,,,,,,,Dramarama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL Cool J,,,,,,,,,,,,,,,,,,,,,The Untouchables,,,,,Voodoo Glow Skulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/1985,Tears For Fears,New Wave,,Pacific Amphitheatre,"Costa Mesa, California",Mike,https://www.concertarchives.org/concerts/tears-for-fears-046ab552-e762-4a60-a0e6-110790ce281e,,,Costa Mesa, California,,July 10 1985,July,10,1985,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team Band,,,,,,,,,,,,,,,,,,,,,,,Duran Duran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DJ Z-Trip,,,,,,,,,,,,,,,,,,,,,Gene Loves Jezabel,,,,,T.S.O.L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/1985,Wham!,Pop,"Chaka Kahn, Katrina And the Waves",Hollywood Park Racetrack,"Inglewood, California",Dori,,,,Inglewood, California,,August 30 1985,August,30,1985,Friday,,Chaka Kahn, Katrina And the Waves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echo and the Bunnymen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trouble Funk,,,,,,,,,,,,,,,,,,,,,When In Rome,,,,,Black Rebel Motorcycle Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/1985,New Order,New Wave,,Irvine Meadows,"Irvine, California",Mike,http://www.neworderonline.com/Live/Concert.aspx?ConcertID=190,,,Irvine, California,,August 23 1985,August,23,1985,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fountains of Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trombone Shorty & Orleans Avenue,,,,,,,,,,,,,,,,,,,,,The Polecats,,,,,Snuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/1985,Bruce Springsteen,Classic Rock,,Los Angeles Memorial Coliseum,"Los Angeles, California",Mike,https://www.concertarchives.org/concerts/bruce-springsteen-at-los-angeles-memorial-coliseum-september-29-1985,,,Los Angeles, California,,September 29 1985,September,29,1985,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The English Beat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RDGLDGRN,,,,,,,,,,,,,,,,,,,,,,,,,,Fear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/1985,Thompson Twins,New Wave,OMD,Irvine Meadows,"Irvine, California",Mike,Concert Archive,,,Irvine, California,,November 2 1985,November,2,1985,Saturday,,OMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Hot Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mad Caddies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/1986,The Alarm,New Wave,,UCLA,"Los Angeles, California",Mike,https://www.setlist.fm/setlist/the-alarm/1986/ucla-los-angeles-ca-3dda527.html,,,Los Angeles, California,,April 12 1986,April,12,1986,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interpol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rancid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/1986,Blancmange,New Wave,,Crawford Hall,"Irvine, California",Mike,https://www.setlist.fm/setlist/blancmange/1986/crawford-hall-irvine-ca-bfc0dfa.html,,,Irvine, California,,April 15 1986,April,15,1986,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kings of Leon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Lee Tasjan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/1986,Beach Boys,Classic Rock,,Pacific Amphitheatre,"Costa Mesa, California",Mike,,,,Costa Mesa, California,,July 16 1986,July,16,1986,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psychedelic Furs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wrecks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/1986,The Art of Noise,Synthpop,,Pacific Amphitheatre,"Costa Mesa, California",Mike,https://www.setlist.fm/setlist/art-of-noise/1986/pacific-amphitheatre-costa-mesa-ca-bff113e.html,,,Costa Mesa, California,,July 31 1986,July,31,1986,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Violent Femmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Interrupters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/1987,Run DMC,Rap,Beastie Boys,Pacific Amphitheatre,"Costa Mesa, California",Mike,https://www.setlist.fm/setlist/rundmc/1987/pacific-amphitheatre-costa-mesa-ca-2be3cc0a.html,,,Costa Mesa, California,,June 20 1987,June,20,1987,Saturday,,Beastie Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/1987,Duran Duran,New Wave,,Irvine Meadows,"Irvine, California",Dori,,,,Irvine, California,,July 27 1987,July,27,1987,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/1987,Oingo Boingo,New Wave,"Hoodoo Gurus,Bangles, Squeeze,Chris Isaak,The Fixx",Caliente Racetrack,"Tijuana, Mexico",Dori,MexFest,,,Tijuana, Mexico,,June 30 1987,June,30,1987,Tuesday,,Hoodoo Gurus,Bangles, Squeeze,Chris Isaak,The Fixx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/1988,No Doubt,Alternative,The Nylons,Disneyland,"Anaheim, California",Dori,,,,Anaheim, California,,March 4 1988,March,4,1988,Friday,,The Nylons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/1988,Depeche Mode,New Wave,"Thomas Dolby,Wire,OMD",The Rose Bowl,"Pasadena, California",Mike,,,,Pasadena, California,,June 18 1988,June,18,1988,Saturday,,Thomas Dolby,Wire,OMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/1988,UB40,Reggae,,Pacific Amphitheatre,"Costa Mesa, California",Dori,,,,Costa Mesa, California,,September 9 1988,September,9,1988,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/1988,Ziggy Marley,Reggae,,Mesa Amphitheatre,"Mesa, Arizona",Mike,,,,Mesa, Arizona,,September 19 1988,September,19,1988,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/1988,George Michael,Pop,,Irvine Meadows,"Irvine, California",Dori,,,,Irvine, California,,October 7 1988,October,7,1988,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/1988,Beach Boys,Classic Rock,,Arizona Veterans Memorial Coliseum,"Phoenix, Arizona",Mike,,,,Phoenix, Arizona,,October 15 1988,October,15,1988,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/1988,Oingo Boingo,New Wave,,Irvine Meadows,"Irvine, California",Dori,,,,Irvine, California,,October 29 1988,October,29,1988,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/1989,Howard Jones,New Wave,Midge Ure,Universal Amphitheater ,"Los Angeles, California",Dori,https://www.setlist.fm/setlist/midge-ure/1989/universal-amphitheatre-universal-city-ca-63ea32ff.html,,,Los Angeles, California,,July 5 1989,July,5,1989,Wednesday,,Midge Ure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/1990,Tone Loc,Hip Hop,,Jets,"Long Beach, California",Dori,,,,Long Beach, California,,March 10 1990,March,10,1990,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/1990,Erasure,Synthpop,,Kia Forum,"Inglewood, California",Dori,https://www.setlist.fm/setlist/erasure/1990/great-western-forum-inglewood-ca-13c21d6d.html,,,Inglewood, California,,March 11 1990,March,11,1990,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/1990,Social Distortion,Punk,,Cal State Fullerton,"Fullerton, California",Mike,,,,Fullerton, California,,September 13 1990,September,13,1990,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/1990,Erasure,Synthpop,,Irvine Meadows,"Irvine, California",Mike,https://www.setlist.fm/setlist/erasure/1990/irvine-meadows-amphitheatre-irvine-ca-23c21c7b.html,,,Irvine, California,,June 15 1990,June,15,1990,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/1990,Depeche Mode,New Wave,,Dodger Stadium,"Los Angeles, California",Dori,,,,Los Angeles, California,,August 5 1990,August,5,1990,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/1990,Jesus Jones,Britpop,EMF,Hollywood Palladium,"Hollywood, California",Dori,,,,Hollywood, California,,August 9 1990,August,9,1990,Thursday,,EMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
